time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['338369.441624', '338372.126171']",0.020924327,0.028514856,0.011380075,0.104278139,0.061023785,0.122719157,0.001714444,0.001407778,-0.000992222,-0.005534444,-0.000105556,0.004203333,0.020970801,0.028639637,0.011400249,0.104714541,0.061365566,0.123334254,0.00075,0.00065,-0.0009,-0.01575,0.00015,-0.01665,3,0,0.021926087,0.022011634,4,1.414213562,0.0227,0.026460338,6,3.16227766,0.01092,0.009751278,4,1.732050808,0.074310526,0.100851799,5,2,0.049277778,0.050045327,6,3.16227766,0.116228571,0.139846996,0.926858746,-0.337207047,0.050640435,0.156409008,-0.253523548,0.496811614,4.027807514,5.037838655,1.63404979,0.113033513,0.359812409,1.303487857
"['338370.346542', '338373.031114']",0.028211341,0.022965564,0.019472008,0.188338217,0.11582161,0.17070721,-0.00154,0.002428889,-0.000913333,-0.00183,0.00054,-0.006575556,0.02832709,0.022964698,0.019559544,0.189384401,0.11646921,0.17153616,-0.0011,0.0006,-0.00045,-0.02595,0.00035,-0.01515,4,1,0.024754545,0.029549309,4,1.414213562,0.024147368,0.025387932,5,2,0.01458125,0.015382727,4,1.414213562,0.144261111,0.267530256,5,2.449489743,0.082870588,0.139190821,7,3,0.135876923,0.174002328,0.052542194,1.00115919,-0.303515464,1.819079685,1.110930909,-0.379363983,5.252090993,4.534237088,2.589159599,13.42705505,7.897925157,1.50672399
"['338371.251445', '338373.936011']",0.026257416,0.02359377,0.019472944,0.209508131,0.110551654,0.164025151,-0.002438889,0.003048889,-0.001644444,0.007187778,0.001333333,0.000431111,0.026290369,0.023527016,0.019512089,0.210557829,0.11116291,0.164943497,0,0.0006,-0.0014,-0.00055,0.00015,-0.0046,4,1,0.021857143,0.025301533,4,1.732050808,0.025842105,0.030814396,5,1.732050808,0.014272222,0.014815326,4,1.414213562,0.147821053,0.275687038,4,1.732050808,0.071405263,0.133491712,5,2.449489743,0.10416,0.154335464,-0.424638452,1.733154429,-0.19119117,0.894294292,1.300651372,-0.583169546,5.900951735,5.506868926,2.63723362,8.772489288,9.961004411,1.877257522
"['338372.156353', '338374.840929']",0.026394257,0.023490026,0.022439301,0.225358115,0.117773261,0.166904428,-0.00287,0.002171111,-0.001082222,0.016015556,0.009628889,0.007028889,0.026384748,0.023520511,0.022538754,0.226047632,0.118036572,0.167690575,-0.0016,0.0022,-0.001,0.0008,0.0105,0.02285,4,1,0.022315,0.026307199,4,1.732050808,0.022647619,0.029688746,5,2,0.018694444,0.021844436,4,1.414213562,0.179705263,0.28533511,4,1.414213562,0.080065,0.127970804,4,1.732050808,0.0998,0.13580198,-0.324140476,1.726407248,0.270004046,0.787882029,0.675601465,-0.736391472,5.824029346,5.806809702,2.602050984,6.227487642,7.669147302,1.819305974
"['338373.061265', '338375.745828']",0.011368421,0.015520048,0.014386413,0.148243708,0.054982116,0.083076891,-4.11E-05,-0.000365556,-0.001251111,-0.00162,0.010297778,0.010694444,0.011432036,0.015602666,0.0144122,0.14906531,0.05431173,0.082847219,-0.0001,-0.00105,-0.00065,-0.0038,0.0105,0.0038,4,1,0.010209091,0.010596536,4,1.732050808,0.013261905,0.019690594,4,1,0.01143,0.018066459,4,1.414213562,0.08185,0.16733806,4,1,0.043342857,0.038323264,4,1,0.048954545,0.073164152,0.227546887,2.1196882,1.713021437,-0.215007587,-2.521668051,0.157848144,3.737242366,13.84819469,12.1333326,4.777003965,14.72485841,3.808596444
"['338373.966163', '338376.650738']",0.008494488,0.010042875,0.013082728,0.110394944,0.049524958,0.051955112,0.000123333,0.000646667,-0.001044444,0.008172222,0.008334444,-0.002856667,0.008541177,0.01007818,0.01311403,0.110708812,0.049092124,0.052167145,0.00015,0.00125,-0.00055,-0.00475,0.0095,0.00165,11,12.16552506,0.015933333,0.013885052,29,-1,0.02005,0.002474874,4,1.414213562,0.00906,0.018040901,5,1,0.09273125,0.137628053,4,0,0.034509091,0.032443693,4,0,0.031718182,0.031522987,1.337468384,-1.238204753,2.150242078,1.528890366,-3.347267453,-2.775384594,7.495660975,2.689205909,18.38014626,6.118356874,22.51113648,14.50070044
"['338374.871081', '338377.555649']",0.005798735,0.008767795,0.007650795,0.060922729,0.023146384,0.021704518,-0.000546667,0.001884444,-0.000726667,0.003482222,0.006497778,-0.003183333,0.005805251,0.008610862,0.007658876,0.061163877,0.022340083,0.021590084,0.00015,0.0018,-0.0002,0.00205,0.0075,-0.00275,-1,-1,-1,-1,5,3,0.01008,0.004626353,15,8.485281374,0.0221,0.014421165,4,1,0.046577778,0.052940572,4,0,0.024138095,0.023664033,4,1,0.018371429,0.01326315,-1.423926529,-0.181935536,0.936136674,0.075396174,0.367122948,-0.528146817,4.886585106,5.283402844,7.326563234,0.009432364,6.85327971,0.367254296
"['338375.775979', '338378.460587']",0.007059761,0.008761773,0.007995492,0.05598425,0.022868972,0.021196108,-0.001006667,0.00208,-0.001116667,0.01388,0.001183333,-0.003352222,0.007026767,0.008558985,0.007961484,0.054540199,0.022966283,0.0210466,0.0001,0.0022,-0.00045,0.00705,-0.0005,-0.0022,-1,-1,-1,-1,5,2.645751311,0.012313333,0.008072605,14,5.567764363,0.015116667,0.011940087,4,1.414213562,0.059122222,0.051357805,4,1,0.018409524,0.026266955,5,3,0.020847059,0.00958287,-2.298879996,-0.347195508,0.585863629,0.130848923,0.794235131,-0.60705879,8.907565858,5.464550562,7.487194824,0.403240963,6.434471222,0.247540291
"['338376.680920', '338379.365496']",0.014727031,0.016584296,0.009004141,0.114893593,0.030149468,0.046896017,-0.000961111,0.001235556,-0.001772222,-0.00107,-0.003828889,-0.010062222,0.014777965,0.016630859,0.008877468,0.115532249,0.03007289,0.046060406,0.0001,0.002,-0.00095,0.00735,-0.0046,-0.00765,4,1,0.007561905,0.010583169,4,0,0.01302381,0.013415547,11,6.708203932,0.014057143,0.011250016,4,1.414213562,0.05258,0.051279878,4,1,0.017431818,0.036371802,4,2.236067977,0.01861,0.055498733,-2.658400741,-2.294248697,0.258143832,-5.024459988,0.919235475,-0.285098429,23.67512431,16.37418637,4.812294808,31.36782246,3.785329703,18.02505079
"['338377.585831', '338380.270389']",0.017875592,0.021702537,0.016377183,0.116821379,0.075060349,0.203534178,-0.003461111,0.006816667,-0.002383333,-0.021135556,-0.038311111,-0.103945556,0.017635566,0.020719633,0.016293607,0.115537195,0.064908607,0.175970294,-0.00045,0.00435,-0.0018,-0.0087,-0.0207,-0.02165,4,1,0.006154545,0.013266453,4,1,0.020733333,0.017037322,5,2.449489743,0.00855,0.013429917,4,1.414213562,0.031535,0.051323128,4,1.732050808,0.008364706,0.035926104,4,1.414213562,-0.026244444,0.140241314,-1.663328616,-1.149214686,-0.238337085,-4.651940684,-1.177634247,-1.227912953,10.2103958,7.627555859,2.832670223,27.98972672,1.270548197,0.068073352
