time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['44146.01502', '44148.69912']",0.194739525,0.16842559,0.170173995,0.570699347,0.61891318,0.517773714,-0.079348889,0.058418889,-0.071868889,0.08009,-0.425442222,-0.289133333,0.178836793,0.158854648,0.155117375,0.568217203,0.452020676,0.431931098,-0.05735,0.03515,-0.0562,0.01675,-0.36765,-0.2095,4,1,0.0244,0.172279421,4,1,0.222733333,0.154302172,4,1.414213562,0.06663,0.121123,4,2.236067977,0.390484211,0.719121126,5,2.645751311,-0.236570588,0.437478888,4,2,-0.019789474,0.409016608,0.049081215,0.604259522,0.075955083,0.587555715,-0.372004632,-0.120544544,-0.326958053,0.747772198,1.102945029,0.790852694,-0.449514051,-0.08159301
"['44146.91978', '44149.6039']",0.222225566,0.178591182,0.208886081,0.592903939,0.792034161,0.663197314,-0.088666667,0.067878889,-0.076134444,0.040022222,-0.613102222,-0.452195556,0.204912099,0.166114012,0.195606941,0.594865647,0.504230864,0.48784653,-0.1124,0.04435,-0.0719,0.0056,-0.6849,-0.4501,4,1.414213562,0.057515789,0.192283946,4,1,0.2377,0.147018431,4,1.414213562,0.115628571,0.16810652,4,2,0.423573684,0.691757045,4,2,-0.433678947,0.53333254,5,2.236067977,-0.070794444,0.451611001,0.082481298,0.263334178,0.428672668,0.54893208,0.439102902,0.178627949,-0.462562605,0.529278951,0.570894088,0.548753223,-0.610291659,0.078069171
"['44147.82454', '44150.50867']",0.21560511,0.177936075,0.225502836,0.449354194,0.945697157,0.677941037,-0.056838889,0.047272222,-0.036474444,-0.058896667,-0.692488889,-0.522066667,0.209143287,0.17250281,0.223780163,0.447973385,0.647659595,0.43491624,-0.0589,0.0591,-0.0475,-0.0315,-0.8031,-0.4707,4,1,0.102875,0.175516468,4,0,0.180945455,0.121310188,3,0,0.170830435,0.169389668,4,1.732050808,0.278217647,0.411910121,4,1.732050808,-0.502715,0.707351863,5,1.732050808,-0.176682353,0.323787948,-0.071763177,-1.314950282,0.126011447,-0.221277238,0.293595744,-0.449324103,-0.181247535,5.47708071,0.052915082,-0.474787725,-0.3717775,0.036052764
"['44148.7293', '44151.41342']",0.263823843,0.192360064,0.210121243,0.631890399,0.862150553,0.698709652,-0.022227778,0.0304,-0.018511111,-0.238702222,-0.432985556,-0.511337778,0.264358565,0.191006826,0.210476847,0.588347574,0.749714835,0.478828121,-0.0143,0.03755,-0.02315,-0.1693,-0.47195,-0.4925,4,2,0.153644444,0.260374261,4,0,0.169054545,0.174477764,3,0,0.180465217,0.145935087,4,1.732050808,0.036310526,0.628642123,4,1.732050808,-0.19473,0.840820974,5,2,-0.079594444,0.350449902,0.006711246,-0.710964306,-0.167966231,-0.35561169,-0.089615272,-0.213426589,0.199290136,3.912450618,0.562573753,-0.42473797,-0.815636969,-0.253491733
"['44149.63405', '44152.31818']",0.261284963,0.185277758,0.186348351,0.576967909,0.707279697,0.608905206,0.003351111,0.006845556,-0.008193333,-0.193367778,-0.185978889,-0.414385556,0.262727144,0.186188522,0.187211109,0.54664532,0.686213172,0.448649841,0.01515,0.01405,-0.01195,-0.1446,-0.05365,-0.3812,5,2,0.190694118,0.252174043,4,1,0.145261905,0.180834171,4,1.414213562,0.17599,0.120612934,4,1.732050808,0.018236842,0.590245001,4,2,0.109361111,0.75815543,4,2,-0.025544444,0.321646295,-0.145767137,-0.504648904,-0.404382983,-0.644260813,-0.934406549,-0.266145422,0.080624628,4.278290488,1.045792394,0.326874265,0.555826642,-0.161523892
"['44150.53882', '44153.22293']",0.262968829,0.205835345,0.198482747,0.711874189,0.681660511,0.616294746,0.043723333,-0.030884444,-0.022816667,-0.137714444,0.037353333,-0.110662222,0.260761176,0.204645229,0.198271521,0.702339296,0.684449424,0.609674602,0.0443,-0.00605,-0.007,-0.1716,0.0059,-0.07555,5,1.732050808,0.269693333,0.231494441,4,1,0.118745,0.216130547,4,1.414213562,0.129083333,0.169353074,4,1.414213562,0.170544444,0.826274041,4,2,0.403423529,0.742232525,4,1.414213562,0.241185,0.568642166,-0.290696439,-0.406266077,-0.882581549,0.475681996,0.792682227,0.090641897,0.143566307,2.060592966,1.313771464,0.844363235,3.086071255,0.137860508
"['44151.44357', '44154.12769']",0.275108092,0.282582542,0.288192828,1.012136018,0.851150814,0.959664008,0.058931111,-0.040161111,-0.000378889,0.110367778,-0.183947778,-0.24049,0.270227594,0.281281138,0.289807115,1.01173699,0.835691755,0.934247045,0.0582,-0.01635,0.00435,-0.07365,-0.20015,-0.07555,5,1.732050808,0.25834375,0.221279045,4,1.414213562,0.139436842,0.257228729,4,1.414213562,0.170288235,0.278054513,4,1.414213562,0.663310526,0.97107591,5,2.449489743,0.252888235,0.917244525,5,1.414213562,0.341447059,0.896785641,-0.335525761,-0.002865939,-0.395933482,-0.380634069,0.725503653,-0.891025516,1.344477199,2.477459527,1.76618997,3.179363878,1.729852454,1.083165006
"['44152.34833', '44155.03245']",0.261188909,0.276551817,0.284111182,1.077931849,0.88688483,0.983677892,0.067678889,-0.037901111,-0.002115556,0.036996667,-0.196244444,-0.281866667,0.253681418,0.275477057,0.285694934,1.083332087,0.869745887,0.947709267,0.05695,-0.0148,-0.0051,-0.0508,-0.2652,-0.06275,5,2,0.203744444,0.23050349,4,1.414213562,0.112875,0.25227316,4,1.414213562,0.134605263,0.281026293,5,1.414213562,0.768188235,0.979062772,5,2.449489743,0.23664375,0.975688564,5,1.732050808,0.404292857,0.990562937,-0.314780181,-0.032695781,-0.333336456,-0.291961109,0.796699317,-0.755957377,2.243186934,2.894549427,2.083389755,1.903802066,1.241908339,0.738481214
"['44153.25308', '44155.93721']",0.222337968,0.229795395,0.239877028,0.978829758,0.659150661,0.891168173,0.039056667,-0.020253333,0.013611111,-0.029746667,-0.175474444,-0.416633333,0.220106904,0.230183496,0.24083225,0.983858802,0.638924203,0.7921934,0.0142,-0.01685,0.0001,-0.08275,-0.1132,-0.16525,4,2,0.123565,0.204450844,4,1.414213562,0.078245455,0.209890887,4,1.414213562,0.122231579,0.245435452,4,1,0.557066667,0.904969372,5,2.828427125,0.039221429,0.481115576,6,2.828427125,0.0412,0.868625606,-0.204933411,0.276480773,-0.216578368,-0.40467516,0.009360488,-1.258480724,5.479294636,7.169790719,5.348463228,3.615074303,1.736546808,2.475972938
"['44154.15785', '44156.84197']",0.07298801,0.059091053,0.083677515,0.500045745,0.358163755,0.36228804,0.025671111,-0.012003333,-0.000916667,-0.00686,0.047276667,-0.193752222,0.06870732,0.058183218,0.084141251,0.502799823,0.357018825,0.307840302,0.00805,-0.00855,0.00125,-0.02605,0.00235,-0.0999,4,1,0.067095455,0.086280067,3,1,0.027025,0.043445681,4,1.414213562,0.026005,0.050842766,5,1.414213562,0.280466667,0.412856595,6,3.741657387,0.2368,0.370044704,6,3.31662479,0.001985714,0.235906503,1.598715369,-0.765716369,2.229748891,-0.790692029,0.739012478,-1.325426325,5.206008268,1.539875135,13.47878017,3.520938129,0.539249095,1.740492203
