time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['44012.34607', '44015.03009']",0.104470617,0.095431165,0.105016146,1.552361939,0.972428472,0.843390622,0.020744444,0.015577778,-0.020222222,-0.525131111,-0.189587778,0.305624444,0.102963941,0.094678618,0.103628048,1.469027965,0.959111391,0.790470842,0.00365,-0.00275,-0.00075,-0.01705,0.02155,0.01285,4,1.414213562,0.044845,0.100741318,5,1.732050808,0.034935294,0.103740264,5,1.732050808,-0.00843125,0.092873999,5,3.16227766,0.010182353,0.097706501,5,2.236067977,0.1242,0.222955987,6,3.16227766,0.241738462,0.777465575,0.447246609,2.920413647,-3.389160094,-3.341946977,-3.006362204,2.1754498,3.148971539,10.92783433,12.1878235,11.16249392,8.14904515,3.629550075
"['44013.2508', '44015.93484']",0.141933462,0.137658484,0.179879408,1.683264842,1.17002637,1.006804817,0.064048889,0.00482,0.03478,-0.58755,-0.07986,0.381864444,0.12736995,0.138344803,0.177473713,1.586229001,1.173837306,0.93679584,0.01235,-0.0067,0.00495,-0.0617,0.05265,0.028,4,2.236067977,0.092961111,0.13575958,5,1.732050808,0.060011765,0.208183987,5,1.732050808,0.047127778,0.166010151,5,3,0.019182353,0.801251371,7,6.403124237,0.533346154,0.516790037,7,3.872983346,0.403388889,0.925808762,0.038817483,2.364547181,0.131570446,-2.3071966,-1.898905297,1.204894886,0.756918308,8.298401416,2.567685684,7.460991923,3.253738093,0.774640383
"['44014.15552', '44016.83955']",0.237463348,0.298270335,0.306261958,2.563842509,1.577276899,1.911320086,0.114554444,0.083875556,-0.029372222,-0.736313333,-0.041382222,0.830752222,0.209170402,0.287837883,0.306558083,2.469594421,1.585567256,1.730978711,0.1186,0.0008,0.0105,-0.41405,0.3286,0.43615,5,2.236067977,0.203746667,0.262122991,5,1.414213562,0.211094118,0.402611176,5,1.732050808,0.04258125,0.311031182,6,3.464101615,0.623835714,1.711480671,6,6.633249581,1.136125,0.677629486,11,7.416198487,1.5798625,2.495623085,1.167630112,1.912765946,-0.216482413,-1.466929772,-0.978206247,0.457992241,3.625108555,5.247710786,-0.562796429,4.417909226,0.316592839,0.300989309
"['44015.06027', '44017.74428']",0.772499351,0.830850088,0.516695169,2.382276933,2.061660815,3.132757654,0.177535556,0.19338,0.008194444,-0.427087778,-0.026917778,-0.194888889,0.756033957,0.812559031,0.519524495,2.356810708,2.07303411,3.144206363,0.14335,-0.01495,0.04795,-0.35265,0.42515,0.09865,6,2.236067977,0.547684615,1.233404153,5,1,0.594594118,1.282703206,5,2.236067977,0.139866667,0.475366928,6,2.645751311,0.89275,1.661262389,6,6.92820323,1.128158333,2.148215001,10,8,1.730925,2.603820749,1.598491743,2.120528226,0.164892596,-1.686020035,-0.021093962,-1.005052833,10.22446778,6.207818026,0.172101433,5.95752643,-0.351804578,1.371547428
"['44015.96498', '44018.64901']",1.104556787,1.109354351,0.662306663,2.752884086,2.77043853,3.787767578,0.281544444,0.287628889,0.034487778,-0.572455556,0.192371111,-0.228566667,1.074055937,1.077420467,0.665113523,2.707791273,2.779234941,3.80204653,0.33765,0.04935,-0.05205,-0.40135,0.16625,0.6378,6,2,0.913373333,1.442012159,6,2.645751311,1.165142857,1.644911748,7,3.16227766,0.338641667,0.703464442,5,2.645751311,1.199526667,1.831859936,8,7,1.836509091,3.267451391,7,4.582575695,2.031690909,2.605505443,0.299397528,1.41841683,0.267167158,-1.631570488,0.185380811,-0.691709651,2.232684648,2.090079333,-0.557553864,4.937721364,-0.970525704,-0.219800875
"['44016.86971', '44019.55375']",1.715568359,1.703633343,1.263329031,4.210656785,4.666610639,4.681669591,0.581616667,0.232037778,0.265168889,-0.504703333,0.4752,-0.454743333,1.623011199,1.697212696,1.242106371,4.203718872,4.668360614,4.685636047,0.64645,0.04935,0.1958,-0.4563,-0.3175,-0.17295,6,2,2.13564,2.323168219,6,2.449489743,1.4939,2.131222839,7,3.16227766,1.525572727,1.094057203,4,1,1.937235294,3.237356218,6,2.449489743,4.442025,6.409747378,6,3,3.522733333,3.206705489,0.975720062,-0.358266559,-0.175928434,-0.566029169,0.529088183,-0.438308523,4.456976796,1.920863021,1.201137908,3.311475079,1.120666332,-0.451673374
"['44017.77443', '44020.45852']",1.820334197,1.854278304,1.285147469,4.716693574,4.840352839,4.62149445,0.612765556,0.32236,0.284254444,-0.318238889,0.698366667,-0.143266667,1.723701748,1.836272744,1.260338408,4.732309465,4.816540981,4.645151762,0.59415,0.3203,0.23855,-0.40135,0.5792,-0.0297,6,2.236067977,2.406553333,2.28876612,6,2.828427125,1.851446154,2.132376569,7,3.605551275,1.486958333,1.046321862,4,2.236067977,2.288288889,3.756169293,6,3.16227766,4.491515385,6.197591392,6,2,3.400885714,3.681205437,0.838123716,-0.344056727,-0.208484274,-0.563036245,0.372106733,-0.359164015,3.380243875,0.946898324,1.047896599,1.901344128,0.677154184,-0.47364281
"['44018.67916', '44021.36324']",1.923080688,1.924911431,1.333771855,5.004279603,5.053541124,4.707329403,0.67121,0.333305556,0.366456667,-0.562975556,0.747958889,-0.253914444,1.812238303,1.906456293,1.289626366,5.000369153,5.025882655,4.726809719,0.54965,0.25605,0.29675,-0.37675,1.03275,-0.2489,6,2.236067977,2.759106667,2.398172618,6,2.828427125,1.687953333,2.229336287,5,2.645751311,1.3937,0.985394759,5,2.236067977,2.682747059,3.719820466,5,3.16227766,4.747907143,5.729085577,6,2.236067977,3.057142857,4.213860472,0.915340587,-0.182501152,-0.339923039,-0.697588832,0.280700401,-0.323707514,2.914737235,0.725156354,0.815351609,2.064988367,0.269565734,-0.573811162
"['44019.5839', '44022.26797']",1.743087325,1.831573293,0.890977757,3.689081639,3.717926527,4.447955933,0.505596667,0.576532222,0.243666667,-1.000775556,0.511128889,-0.312767778,1.677495756,1.748207491,0.861812258,3.570634675,3.703255845,4.461802864,0.54965,-0.19655,0.23285,-0.6608,0.66645,-0.1403,5,1.732050808,2.162606667,2.281901031,6,3.31662479,2.186215385,2.299447384,5,2.828427125,0.872733333,0.66525198,5,1.732050808,1.5062625,2.902729566,5,3.464101615,3.1934,3.003918096,6,3.741657387,2.199671429,4.002516142,0.640673189,0.825256464,-0.156866053,-1.163811906,-0.097988054,-0.151850606,1.108324524,-0.495614558,-0.745817694,5.136285301,-1.052903772,-0.781931755
"['44020.48867', '44023.1727']",1.788708338,1.86889466,0.838054894,3.029775506,3.507660491,4.502841208,0.334085556,0.5716,0.309253333,-1.199682222,0.447205556,-0.504381111,1.767076531,1.789305502,0.783272122,2.797726197,3.498526236,4.499570614,0.7104,-0.3011,0.2925,-0.9494,1.2666,-0.0706,5,1.414213562,1.70990625,2.439103092,5,2.236067977,1.75924375,2.484986383,5,2,0.906706667,0.648128337,6,1.732050808,0.723073333,2.139658087,5,2.645751311,2.529835294,3.127009811,6,4.123105626,1.785923077,3.773113021,0.240215999,1.030920535,-0.22989345,-2.104701764,-0.206575408,-0.222093826,0.821210361,-0.389826144,-0.507249631,10.46831848,-0.955242078,-0.820649631
