time,rmsAx,rmsAy,rmsAz,rmsGx,rmsGy,rmsGz,meanAx,meanAy,meanAz,meanGx,meanGy,meanGz,stddevAx,stddevAy,stddevAz,stddevGx,stddevGy,stddevGz,mediAx,mediAy,mediAz,mediGx,mediGy,mediGz,avgdisAx,stddisAx,avgampAx,stdampAx,avgdisAy,stddisAy,avgampAy,stdampAy,avgdisAz,stddisAz,avgampAz,stdampAz,avgdisGx,stddisGx,avgampGx,stdampGx,avgdisGy,stddisGy,avgampGy,stdampGy,avgdisGz,stddisGz,avgampGz,stdampGz,skewAx,skewAy,skewAz,skewGx,skewGy,skewGz,kurtAx,kurtAy,kurtAz,kurtGx,kurtGy,kurtGz
"['43874.548872', '43877.232867']",0.155569225,0.145795193,0.10597017,1.969867939,0.424911251,0.431521714,-0.021883333,0.025137778,0.002486667,-0.485556667,0.141266667,0.144147778,0.154885289,0.144416289,0.106534502,1.919782578,0.402986004,0.409012468,0.00105,0.0006,-0.0044,-0.03115,0.01225,0.0052,5,1.732050808,-0.022275,0.1433995,4,1,0.089963158,0.197735548,6,2.449489743,0.02402,0.103210362,4,2.645751311,0.160455556,1.404360439,6,2.449489743,0.27455,0.485709832,6,2.449489743,0.30035,0.551050418,0.219159059,1.028311409,-0.735907958,-0.848178624,1.04967265,1.924219572,0.981083342,18.58629719,4.233691786,1.642893096,1.485819614,4.05287108
"['43875.453605', '43878.137581']",0.181123948,0.17919819,0.128713698,2.078908472,0.460229614,0.485418381,-0.002008889,0.025206667,-0.006736667,-0.715283333,0.093974444,0.140506667,0.182127453,0.17841044,0.129257387,1.962916647,0.453057145,0.467241479,0.00245,0.0027,-0.00495,-0.2012,-0.0019,0.02295,5,2.449489743,0.0174,0.176997288,4,1,0.144266667,0.201067353,4,2.645751311,0.046072222,0.10508368,5,2.645751311,-0.014388889,1.625414141,6,2.645751311,0.297792857,0.43644366,6,2.449489743,0.391178571,0.546618711,0.237514283,0.515408246,-0.651699485,-0.474870107,0.708978449,1.077772189,-0.177139275,7.340595717,1.362803206,0.981808008,0.623069994,1.74468539
"['43876.358311', '43879.042304']",0.212084543,0.355723383,0.208627914,2.602400537,0.60360026,0.711127003,-0.023622222,0.008521111,0.004886667,-0.222967778,0.173841111,0.05271,0.211945667,0.357613601,0.209739149,2.607357036,0.581262949,0.71314381,-0.02885,0.01815,0.0019,-0.36805,0.068,0.07575,4,2,0.067835,0.208435491,3,0,0.247086957,0.320667347,4,2.236067977,0.137757895,0.27222261,4,2,0.988647368,3.296265021,6,2.449489743,0.530273333,0.651717903,5,2,0.388641176,0.487212774,-0.391781886,-1.26013135,1.637846566,1.544426521,0.710632634,-2.057518466,2.120967053,9.338352601,5.673803312,6.715556902,0.427020599,8.648977236
"['43877.263019', '43879.947029']",0.195987745,0.378375803,0.223011461,2.170936006,0.480921747,0.76573917,0.03142,0.00149,0.028976667,0.023114444,0.00709,-0.051113333,0.194536561,0.380492622,0.22235971,2.182974462,0.48356345,0.768311671,0.03135,0.01815,0.0187,-0.243,-0.05165,0.0641,4,0,0.149786364,0.161077108,3,0,0.291252174,0.315299462,4,1.732050808,0.199114286,0.26169066,4,1,0.954613636,2.948989186,5,2,0.347477778,0.569994535,4,1,0.32582,0.462592861,-1.224079994,-1.094625649,1.411998078,2.834566229,1.42658061,-2.114605136,5.738540178,7.15653016,3.725262356,13.33285595,4.217851542,6.04959201
"['43878.167763', '43880.851749']",0.182117163,0.380326265,0.221284813,2.206081213,0.470067528,0.805740859,0.017872222,0.009968889,0.028427778,0.403801111,0.084965556,-0.118265556,0.182253436,0.382325557,0.220680629,2.180960794,0.464915,0.801479272,0.0305,0.03545,0.01135,0.2073,0.0176,0.04825,4,1,0.145915,0.158263635,4,1.414213562,0.31785,0.293756084,4,1.414213562,0.2067,0.274720502,4,1.414213562,1.621238889,3.017628806,5,2.236067977,0.420429412,0.554900716,4,2.828427125,0.323189474,0.452031492,-1.509166026,-1.168266915,1.501749165,2.430932704,1.349804788,-1.829050923,7.392673463,7.08091332,3.873349712,11.5288852,4.231453226,4.292533361
"['43879.072455', '43881.756473']",0.132939138,0.243583014,0.179070356,1.32837568,0.338576458,0.651829156,0.010285556,0.01213,0.009085556,0.16369,-0.041033333,-0.004961111,0.133283172,0.244643729,0.17984163,1.325636917,0.337963589,0.655461903,0.01735,0.0474,0.0375,-0.0651,-0.0489,0.04825,4,1,0.087495,0.135297467,4,1.414213562,0.232214286,0.1891407,5,1.732050808,0.136211111,0.16346045,5,2,0.836972222,1.366085291,5,2.645751311,0.2429125,0.319716601,5,3.31662479,0.39374375,0.575387562,-0.922985494,-0.424346911,-0.947140972,0.225608681,0.03403483,-0.845604691,4.660689179,4.081873308,5.616587641,-0.729022851,0.150336159,2.686229301
"['43879.977181', '43882.661178']",0.102267912,0.169033327,0.139689211,1.079592228,0.283124558,0.49030278,0.005563333,0.012345556,-0.00064,0.10093,-0.002063333,0.022546667,0.102688564,0.169526332,0.140470316,1.080885645,0.284703141,0.49252801,-0.0038,0.0397,0.0185,-0.03995,-0.01545,0.02715,4,1,0.062978947,0.106874119,4,1.414213562,0.17576,0.095986098,5,1.414213562,0.084266667,0.095536424,4,1.732050808,0.546511111,1.149774961,6,3,0.232907143,0.269947281,5,3.464101615,0.31461875,0.463555146,0.267155059,-0.739398621,-2.528051095,0.254260565,0.216454673,-0.04475252,-0.563857893,0.857713857,14.17340617,0.088733715,-0.206547932,3.036180741
"['43880.881931', '43883.565890']",0.102026193,0.152925086,0.132049862,0.912101541,0.315779227,0.427024245,-0.010305556,-0.00446,0.008992222,-0.119514444,-0.067673333,-0.014536667,0.102073039,0.1537164,0.132481398,0.90930333,0.310170587,0.429167671,-0.0142,0.0221,0.01705,-0.1124,-0.0441,-0.0722,4,1,0.06503,0.108836575,4,1,0.129410526,0.113116719,4,1.732050808,0.097778947,0.100305852,4,1.414213562,0.350868421,0.96466546,7,3.16227766,0.194772727,0.291901535,5,2.236067977,0.210075,0.524608158,0.410861316,-0.67609763,-2.954648184,-0.145419168,0.169250077,1.451988334,-0.217371191,0.580605203,19.06796751,2.57323016,-0.656561416,3.142873054
"['43881.786624', '43884.470606']",0.120468308,0.202232799,0.122754965,1.269693101,0.373808065,0.364590168,0.008651111,0.001462222,-0.000512222,-0.241037778,-0.01276,-0.13372,0.120830434,0.203360449,0.123441599,1.253587761,0.375683178,0.34108297,-0.0009,-0.00925,-0.0128,-0.10865,-0.0093,-0.15455,4,1,0.100619048,0.145914152,4,1,0.195119048,0.209078958,4,1.414213562,0.101535,0.122987202,4,1.414213562,0.530226316,1.088376124,6,2.828427125,0.238407692,0.378553529,5,1.732050808,0.111570588,0.436006047,1.241962637,0.463702641,0.516978794,-0.60444578,-0.090964389,1.059815406,3.175095611,2.139082128,2.976937165,1.312722375,1.167596354,2.514059417
"['43882.691329', '43885.375304']",0.122663231,0.227083579,0.135191317,1.501807835,0.441809343,0.413017989,0.017743333,-0.005686667,0.007578889,-0.388878889,-0.096474444,-0.055291111,0.122053121,0.228284152,0.135734901,1.458712679,0.433562923,0.411593337,0.00745,-0.01155,-0.00245,-0.2095,-0.1085,-0.1494,4,1.414213562,0.10147619,0.150172264,4,1,0.214742105,0.21147908,4,1.414213562,0.129863158,0.124408334,5,1.732050808,0.604994118,1.296666785,6,2.828427125,0.182692308,0.434488658,5,2,0.25075,0.533858499,1.072743098,0.170255204,0.300865442,-0.284458566,-0.051970101,0.726355642,2.67384861,1.401048371,1.403095351,0.204906004,0.548944215,0.230887221
"['43883.596041', '43886.280040']",0.121261305,0.239965938,0.133524741,1.812449372,0.456992588,0.374342842,0.034327778,0.009425556,0.018954444,0.119038889,-0.008038889,0.042044444,0.116952487,0.241124074,0.132913027,1.818667935,0.459481684,0.374058136,0.01635,0.011,0.02075,0.05355,-0.0103,0.02535,4,1,0.135233333,0.142035944,4,1,0.2754,0.188162678,5,2,0.148538889,0.118308033,4,1.414213562,1.216205263,1.717831953,5,2,0.278070588,0.439263049,4,1,0.332257895,0.441759256,1.295076489,0.09910169,0.109536808,0.138976147,-0.121636662,0.560577037,2.893828194,0.808222172,1.636211738,0.333867342,0.485609271,0.317023978
"['43884.500757', '43887.184765']",0.127616153,0.186236353,0.093106447,1.415732831,0.403482944,0.31942359,0.028907778,0.008788889,0.023924444,0.28892,-0.059046667,0.025992222,0.124995284,0.187071041,0.090484267,1.393702616,0.401375135,0.320147878,0.01635,0.0262,0.02415,0.05355,-0.0808,0.0582,4,1.414213562,0.141855,0.10246423,4,1,0.19673,0.126828139,4,2,0.1157,0.074190124,4,1.414213562,0.883633333,1.438853095,4,1.732050808,0.18605,0.346193848,4,1.732050808,0.297111765,0.286606614,-0.508349767,-0.381320693,0.004738759,0.757474094,-0.116466208,-0.028021728,2.692973154,1.286569534,0.33317221,3.174967597,0.858996011,0.564830622
"['43885.405486', '43888.089478']",0.175579473,0.158351135,0.110268294,1.531814936,0.529985127,0.857013155,0.011632222,0.013392222,0.028791111,0.048014444,-0.128968889,0.239513333,0.176175214,0.158667758,0.10703959,1.539639696,0.516933628,0.827473765,0.00985,0.0331,0.03485,0.03245,-0.0978,0.0199,4,1.414213562,0.134242105,0.148877975,4,1.414213562,0.16584,0.109895033,4,1.414213562,0.1063,0.103926183,4,1.732050808,0.78717,1.503543567,5,3,0.192486667,0.35886969,5,2.236067977,0.311813333,0.700767723,-0.669338546,-0.104463215,-0.065692407,0.588096304,-1.044348822,1.608551776,1.041151804,0.358065256,0.815148469,1.841130577,2.386619055,1.641616538
"['43886.310192', '43888.994199']",0.28870423,0.192865526,0.156166349,1.850466215,0.824011536,0.908399808,0.055625556,0.013422222,0.044715556,-0.05743,-0.098243333,0.305754444,0.284881874,0.193475776,0.150465954,1.859936663,0.82271743,0.860189415,0.06645,0.03305,0.0322,-0.07845,-0.11465,0.0631,5,2,0.194694444,0.28874754,4,1.414213562,0.184366667,0.15915124,4,1.732050808,0.149452632,0.144352071,4,2.236067977,0.661778947,1.616982915,6,3,0.217166667,0.922529086,6,4.795831523,0.451007692,0.853532173,-0.216664357,-0.178688549,0.149295735,1.192157872,0.267108773,1.227048426,-0.076981369,1.678115615,0.214886247,2.360685333,1.302768905,0.69624312
"['43887.214916', '43889.898918']",0.284578493,0.198222614,0.181660532,2.122644679,1.119618074,1.038287405,0.023644444,0.015985556,0.081945556,-0.125178889,-0.1549,0.142478889,0.28518331,0.198683872,0.163036245,2.130821335,1.115063136,1.034226874,0.0005,0.0313,0.09255,-0.66995,-0.0366,-0.01445,4,1.732050808,0.127415789,0.306711767,4,1.414213562,0.174454545,0.177841601,4,1.732050808,0.181573684,0.151754337,5,2.449489743,0.729135294,2.0644885,5,3.31662479,0.0979,1.30227371,6,5,0.240785714,1.063171721,0.090789528,-0.205055007,-0.323040909,0.905451884,-0.204018803,0.689594861,-0.188757841,1.377890569,-0.350522395,0.610791912,-0.377862667,-0.210407592
"['43888.119660', '43890.803612']",0.266158727,0.301453046,0.24356511,2.702602334,1.55065384,0.970372285,0.057298889,-0.019191111,0.051938889,-0.210917778,-0.290187778,-0.215365556,0.261374016,0.302526953,0.239295978,2.70945406,1.531792864,0.951471978,0.04325,0.0161,0.044,-0.12155,0.14055,0.00465,4,1.414213562,0.151905,0.285092224,3,1,0.190354545,0.218613583,4,1,0.168984211,0.139249011,4,1.732050808,0.941877778,1.933034838,5,2.449489743,0.167833333,1.309008817,4,2.449489743,0.203725,0.765103793,0.015315018,-2.153088312,0.04609498,-0.718574742,-1.445935781,-1.426419796,0.364463777,11.67097863,4.377270064,2.690321267,2.890089592,3.585974721
